Branch;WHSE;GRP;Code;Description;OH;OnSO;OnPO;AVGCost;Value;Stk Fctr B3 Max;LastGRVDate;LastTransDate;B3Max;GRP Sales;Branch#1;B#1OH;B#1Sales;Branch#2;B#2OH;B#2sales;Branch#3;B#3OH;B#3sales
Wadeville;Wad_MW;DUPO;CSTYCHA6#M;D13495087 Tychem 6000F & Socks Grey M Grey CHA5/16 Type 3B Protective Chemical Suit;6;0;220;R585,07;R3 510,40;42,4;2025/08/11;2026/02/23;5,3;129,0;Rustenburg;34;104;Wadeville;6;23;White River;0;2
Wadeville;WadSerNDCen_MW;MB;AM0212232;MB B/Suit D59 Royal Blue S137/54  A1ANG406B59-137/54   9000001449;9;0;0;R388,60;R3 497,43;27,0;;;0,3;1,0;Wadeville;66;1;;;;;;
Wadeville;Wad_MW;MISC;MANBOOK - G;Book - Manual Invoice -Richards Bay;37;0;0;R94,50;R3 496,49;99,0;2021/07/16;;0,0;;;;;;;;;;
Wadeville;WadSerNDCen_MW;SHRT;TT05SHTOCHLS#3XL;Shirt Vented Cotton Refl Titan Or/Charcoal L/S 3XL  ;15;0;0;R232,50;R3 487,50;99,0;;;0,0;;;;;;;;;;
Wadeville;WadSerNDNor_MW;SHRT;TT05SHTOCHLS#3XL;Shirt Vented Cotton Refl Titan Or/Charcoal L/S 3XL  ;15;0;0;R232,50;R3 487,50;99,0;;;0,0;;;;;;;;;;
Wadeville;Wad_MW;GLOV;GSHEEP/S;Glove Sheepskin S;120;0;0;R28,95;R3 474,00;99,0;;;0,0;313,0;Secunda;531;209;Vereeniging;0;104;;;
Wadeville;Wad_MW;MB;AM0212386;MB C/Suit Jacket D59 Closed Front Orange S127/50 J0799800B59 50mm Ind Wash Silver Tape Arms/Breasts X On Back;25;0;0;R138,64;R3 466,08;99,0;2020/07/14;2020/04/16;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;AM2366768;MB C/Suit D59 Ladies 2 Tone Navy/Orange S52/132 Closed Front Ind Silver Ref Arms Legs Chest  X On Back C1THU402B59-52/132;9;0;0;R385,00;R3 465,00;99,0;2025/01/24;2025/02/04;0,0;;;;;;;;;;
Wadeville;Wad_MW;HNYW;1928864;S/Spec Honeywell SVP200 Amber Lens Anti-Fog Fogban 10 Per Box ;100;0;0;R34,62;R3 461,87;99,0;2022/05/11;2022/07/04;0,0;;;;;;;;;;
Wadeville;Wad_MW;SHOE;DOTNEON06;Safety Shoe DOT Neon STC Black S06;11;0;0;R313,73;R3 451,02;16,5;2025/06/10;2025/11/27;0,7;54,0;Pretoria;0;21;Phalaborwa;3;17;Polokwane;0;12
Wadeville;Wad_MW;SHRT;TT05NBLSS#XL;Shirt Vented Cotton Refl Titan Navy Ladies S/S #XL;13;9;30;R265,00;R3 445,00;20,4;2025/07/10;2026/03/05;1,7;9,0;Wadeville;13;9;;;;;;
Wadeville;Wad_MW;MB;MBLNTJ54REFP#48;MB C/Suit Trouser J54 Women Navy S48/122 Pink ReflectiveTape;19;0;0;R179,46;R3 409,76;57,0;2023/12/07;2025/08/11;0,3;4,0;Rustenburg;15;3;Wadeville;19;1;;;
Wadeville;Wad_MW;COLD;250020703;Underwear Thermal Vest Long Sleeve Black 4XL;45;0;0;R75,74;R3 408,30;99,0;2021/04/09;2024/06/04;0,0;43,0;Secunda;115;43;;;;;;
Wadeville;Wad_MW;RESP;FFP2-VDROB;Dust Mask FFP2 Valved Moulded Price Per Box 12 Masks Per Box Headband 1021;28;0;0;R121,66;R3 406,48;99,0;2023/11/14;2024/02/14;0,0;1,0;Rustenburg;441;1;;;;;;
Wadeville;Wad_MW;MB;AM0212402;MB Trousers D59 Orange S122/48  T1799800B59 50mm Industrial Wash Silver Tape Around Both Legs;24;0;0;R141,80;R3 403,20;99,0;2019/05/07;2019/05/10;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;MBS9ARC402ELM3XL;MB BG9030 Navy Arc Flash Shirt No Tape  3XL     15Cal/cm And 13Cal/cm Elim Embroidery ;5;0;0;R680,00;R3 400,00;99,0;2024/12/09;;0,0;;;;;;;;;;
Wadeville;WadSerNDCen_MW;MB;AM0212226;MB B/Suit D59 Royal Blue S107/42  A1ANG406B59-107/42   9000001443;10;0;0;R340,00;R3 400,00;99,0;;;0,0;1,0;Secunda;0;1;;;;;;
Wadeville;Wad_MW;CS;SOTJ54N46/117;C/Suit Trouser J54 Navy S/Orr AGP S46/117 2402559;18;0;0;R188,00;R3 384,00;27,0;2024/09/09;2025/11/05;0,7;2,0;Wadeville;18;2;;;;;;
Wadeville;WadSerNDNor_MW;BELT;CAPBELTSERL;Belt Cap Lamp DBLStrap Battery/SCSR Seriti Spec L;20;0;0;R169,00;R3 380,00;30,0;;;0,7;2,0;Wadeville;67;2;;;;;;
Wadeville;WadSerNDNor_MW;BELT;CAPBELTSERS;Belt Cap Lamp DBLStrap Battery/SCSR Seriti Spec S;20;0;0;R169,00;R3 380,00;99,0;;;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;MBCSRC930;MB C/Suit Poly/Cotton C9 Cut 80/20 Red S30/77;30;0;0;R112,00;R3 360,00;99,0;2021/12/07;;0,0;6,0;Tzaneen;24;6;;;;;;
Wadeville;Wad_MW;ANS;37-655/08;Ansell Sol-Vex Green Nitrile Chem Glove 330mm S08  ;115;0;0;R29,16;R3 353,12;99,0;2021/05/14;2020/11/16;0,0;;;;;;;;;;
Wadeville;Wad_MW;EYE;LCT100;Wipes Pyramex Alcohol Hygienic Wpies 100 P/ Box  ;33;1;0;R99,99;R3 299,74;19,2;2020/08/28;2026/02/16;1,7;6,0;Wadeville;33;6;;;;;;
Wadeville;Wad_MW;BOOT;W31210211;S/Boot Steel Blue Argyle STC Whisky S11;2;0;0;R1 642,63;R3 285,27;99,0;2023/11/07;2023/05/23;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;MBGOCSE54;MB C/Suit Gold Range P/Cott 80/20 E/Green 54/137  ;18;0;0;R182,19;R3 279,48;18,0;2024/03/18;2025/10/06;1,0;21,0;Tzaneen;9;16;Wadeville;18;5;;;
Wadeville;Wad_MW;MB;MBLNTJ54REFP#56;MB C/Suit Trouser J54 Women Navy S56/142 Pink ReflectiveTape;20;0;0;R162,81;R3 256,11;99,0;2021/09/08;2020/08/03;0,0;;;;;;;;;;
Wadeville;Wad_MW;EYE;VS-958AM;S/Spec Sportmax Sporty Amber Lens  H/C  ANSI Z87.1 ;408;0;600;R7,98;R3 254,78;57,1;2025/08/07;2026/03/16;17,7;239,0;Wadeville;408;103;Vereeniging;0;96;Pretoria;0;25
