;;;;Sales Analysis;;;;;;;;
Pienaar Bros North (Pty) Ltd;;;;;;;;;;;;
From:;01/01/2026;;;;;;;;;;;
To:;02/04/2026;;;;;;;;;;;
Sales Analysis Report;;;;;;;;;;Page 1 of 489;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
MAXVISION;Goggle MaxVision Clear P/Carb Lens Anti Fog Foam;;05/01/2026;010-INV179116;CASH_010_001;60,12;85,00;1;85,00;60,12;24,88;29,27
RESPOUCH;Pouch For Half Mask Respirators 27 x 28cm;;05/01/2026;010-INV179116;CASH_010_001;50;69,00;2;138,00;100,00;38,00;27,54
GRHHLL;Glove Household Rubber Yellow L S09;;05/01/2026;010-INV179117;UNIL003_TVL;5,06;10,00;308;2 956,80;1 558,48;1 398,32;47,29
M5935;3M5935 PreFilter P3 20/Box TI551152356 Price Each;;05/01/2026;010-INV179118;SPLA001_TVL;22,64;33,00;20;655,40;452,80;202,60;30,91
M501;3M501 PreFilter Retainer 70071731957;;05/01/2026;010-INV179118;SPLA001_TVL;10,92;18,00;20;360,00;218,40;141,60;39,33
M6300;3M6300 Facepiece Dual Large XA007702674;;05/01/2026;010-INV179118;SPLA001_TVL;141,01;235,00;5;1 175,00;705,05;469,95;40,00
SOTJ54N34/87;C/Suit Trouser J54 Navy S/Orr AGP S34/87 ;;05/01/2026;010-INV179119;CONS004_TVL;199;272,00;3;816,90;597,00;219,90;26,92
SOTJ54N38/97;C/Suit Trouser J54 Navy S/Orr AGP S38/97;;05/01/2026;010-INV179119;CONS004_TVL;199;272,00;3;816,90;597,00;219,90;26,92
SOTDREINF32/82;C/Suit Trouser Denim Reinf K/H  S/Orr AGP S32/82;;05/01/2026;010-INV179119;CONS004_TVL;325,73;450,00;12;5 401,20;3 908,76;1 492,44;27,63
SOTDREINF34/87;C/Suit Trouser Denim Reinf K/H  S/Orr AGP S34/87;;05/01/2026;010-INV179119;CONS004_TVL;326;450,00;24;10 802,40;7 824,00;2 978,40;27,57
SOTDREINF36/92;C/Suit Trouser Denim Reinf K/H  S/Orr AGP S36/92;;05/01/2026;010-INV179119;CONS004_TVL;326;450,00;3;1 350,30;978,00;372,30;27,57
SOTDREINF38/97;C/Suit Trouser Denim Reinf K/H  S/Orr AGP S38/97;;05/01/2026;010-INV179119;CONS004_TVL;326;450,00;15;6 751,50;4 890,00;1 861,50;27,57
SOTDREINF40/102;C/Suit Trouser Denim Reinf K/H S/Orr AGP S40/102;;05/01/2026;010-INV179119;CONS004_TVL;326;450,00;6;2 700,60;1 956,00;744,60;27,57
SOTDREINF42/107;C/Suit Trouser Denim Reinf K/H S/Orr AGP S42/107;;05/01/2026;010-INV179119;CONS004_TVL;326;450,00;3;1 350,30;978,00;372,30;27,57
SOTDREINF48/122;C/Suit Trouser Denim Reinf K/H S/Orr AGP S48/122;;05/01/2026;010-INV179119;CONS004_TVL;343;471,00;3;1 414,38;1 029,00;385,38;27,25
SOTDREINF50/127;C/Suit Trouser Denim Reinf K/H S/Orr AGP S50/127;;05/01/2026;010-INV179119;CONS004_TVL;361;494,00;3;1 481,67;1 083,00;398,67;26,91
SOTJ54N30/77;C/Suit Trouser J54 Navy S/Orr AGP S30/77;;05/01/2026;010-INV179119;CONS004_TVL;198,98;272,00;6;1 633,80;1 193,88;439,92;26,93
SOTDREINF28/72;C/Suit Trouser Denim Reinf K/H  S/Orr AGP  S28/72;;05/01/2026;010-INV179119;CONS004_TVL;326;450,00;3;1 350,30;978,00;372,30;27,57
SOTDREINF30/77;C/Suit Trouser Denim Reinf K/H  S/Orr AGP S30/77;;05/01/2026;010-INV179119;CONS004_TVL;326;450,00;6;2 700,60;1 956,00;744,60;27,57
SOTDLREINF30/77;C/Suit Denim Trs Lady Rein K/H S/Orr AGP  S30/77;;05/01/2026;010-INV179119;CONS004_TVL;313;449,00;6;2 692,80;1 878,00;814,80;30,26
